[Q920796](https://www.wikidata.org/wiki/Q920796),,[Axiom of pairs](https://mathgloss.github.io/CatGloss/topoi/axiom_of_pairs),,[Axiom of pairing](https://ncatlab.org/nlab/show/axiom+of+pairing)
[Q780487](https://www.wikidata.org/wiki/Q780487),,[Axiom of separation](https://mathgloss.github.io/CatGloss/topoi/axiom_of_separation),,[Axiom of separation](https://ncatlab.org/nlab/show/axiom+of+separation)
[Q187456](https://www.wikidata.org/wiki/Q187456),,[Bar](https://mathgloss.github.io/CatGloss/topoi/bar),,
[Q204355](https://www.wikidata.org/wiki/Q204355),,[Biconditional](https://mathgloss.github.io/CatGloss/topoi/biconditional),,[Biconditional](https://ncatlab.org/nlab/show/biconditional)
[Q734272](https://www.wikidata.org/wiki/Q734272),,[Bivalent](https://mathgloss.github.io/CatGloss/topoi/bivalent),,
[Q173183](https://www.wikidata.org/wiki/Q173183),,[Boolean algebra](https://mathgloss.github.io/CatGloss/topoi/boolean_algebra),,[Boolean algebra](https://ncatlab.org/nlab/show/boolean+algebra)
[Q595364](https://www.wikidata.org/wiki/Q595364),,[Bounded lattice](https://mathgloss.github.io/CatGloss/topoi/bounded_lattice),,
[Q1047307](https://www.wikidata.org/wiki/Q1047307),,[Bundle](https://mathgloss.github.io/CatGloss/topoi/bundle),,
[Q230797](https://www.wikidata.org/wiki/Q230797),,[Chain](https://mathgloss.github.io/CatGloss/topoi/chain),,
[Q1934165](https://www.wikidata.org/wiki/Q1934165),,[Change of variables](https://mathgloss.github.io/CatGloss/topoi/change_of_variables),,
[Q1062934](https://www.wikidata.org/wiki/Q1062934),,[Character](https://mathgloss.github.io/CatGloss/topoi/character),,
[Q361254](https://www.wikidata.org/wiki/Q361254),,[Characteristic function](https://mathgloss.github.io/CatGloss/topoi/characteristic_function),[Characteristic function](https://mathgloss.github.io/CatGloss/bct/characteristic_function),[Characteristic function](https://ncatlab.org/nlab/show/characteristic+function)
[Q2513496](https://www.wikidata.org/wiki/Q2513496),,[Choice function](https://mathgloss.github.io/CatGloss/topoi/choice_function),,[Choice function](https://ncatlab.org/nlab/show/choice+function)
[Q5127787](https://www.wikidata.org/wiki/Q5127787),,[Clas](https://mathgloss.github.io/CatGloss/topoi/clas),[Clas](https://mathgloss.github.io/CatGloss/bct/clas),
[Q236975](https://www.wikidata.org/wiki/Q236975),,[Classical logic](https://mathgloss.github.io/CatGloss/topoi/classical_logic),,[Classical logic](https://ncatlab.org/nlab/show/classical+logic)
[Q1744628](https://www.wikidata.org/wiki/Q1744628),,[Classifier](https://mathgloss.github.io/CatGloss/topoi/classifier),,
[Q10894825](https://www.wikidata.org/wiki/Q10894825),,[Closure algebra](https://mathgloss.github.io/CatGloss/topoi/closure_algebra),,[Closure algebra](https://ncatlab.org/nlab/show/closure+algebra)
[Q1777803](https://www.wikidata.org/wiki/Q1777803),,[Co-unit](https://mathgloss.github.io/CatGloss/topoi/co-unit),,[Sweedler notation](https://ncatlab.org/nlab/show/sweedler+notation)
[Q1283623](https://www.wikidata.org/wiki/Q1283623),,[Cofinality](https://mathgloss.github.io/CatGloss/topoi/cofinality),,[Cofinality](https://ncatlab.org/nlab/show/cofinality)
[Q621542](https://www.wikidata.org/wiki/Q621542),,[Commutative diagram](https://mathgloss.github.io/CatGloss/topoi/commutative_diagram),,[Diagram chasing](https://ncatlab.org/nlab/show/diagram+chasing)
[Q381892](https://www.wikidata.org/wiki/Q381892),,[Compact space](https://mathgloss.github.io/CatGloss/topoi/compact_space),,[Compactum](https://ncatlab.org/nlab/show/compactum)
[Q296074](https://www.wikidata.org/wiki/Q296074),,[Compatible](https://mathgloss.github.io/CatGloss/topoi/compatible),,
[Q5156434](https://www.wikidata.org/wiki/Q5156434),,[Complemented lattice](https://mathgloss.github.io/CatGloss/topoi/complemented_lattice),,[Orthomodular lattice](https://ncatlab.org/nlab/show/orthomodular+lattice)
[Q5156470](https://www.wikidata.org/wiki/Q5156470),,[Complete Heyting algebra](https://mathgloss.github.io/CatGloss/topoi/complete_heyting_algebra),,[Frames and locales](https://ncatlab.org/nlab/show/frames+and+locales)
[Q11567](https://www.wikidata.org/wiki/Q11567),,[Complex number](https://mathgloss.github.io/CatGloss/topoi/complex_number),,[Real part](https://ncatlab.org/nlab/show/real+part)
[Q244761](https://www.wikidata.org/wiki/Q244761),,[Composition of functions](https://mathgloss.github.io/CatGloss/topoi/composition_of_functions),[Composition](https://mathgloss.github.io/CatGloss/bct/composition),
[Q16769650](https://www.wikidata.org/wiki/Q16769650),,[Comprehension](https://mathgloss.github.io/CatGloss/topoi/comprehension),,
[Q226931](https://www.wikidata.org/wiki/Q226931),,[Conjunction](https://mathgloss.github.io/CatGloss/topoi/conjunction),,[Conjunction](https://ncatlab.org/nlab/show/conjunction)
[Q5161702](https://www.wikidata.org/wiki/Q5161702),,[Connective](https://mathgloss.github.io/CatGloss/topoi/connective),,[Connective](https://ncatlab.org/nlab/show/connective)
[Q261155](https://www.wikidata.org/wiki/Q261155),,[Consequent](https://mathgloss.github.io/CatGloss/topoi/consequent),,[Consequent](https://ncatlab.org/nlab/show/consequent)
[Q23808682](https://www.wikidata.org/wiki/Q23808682),,[Conservative functor](https://mathgloss.github.io/CatGloss/topoi/conservative_functor),,[Conservative functor](https://ncatlab.org/nlab/show/conservative+functor)
[Q1319773](https://www.wikidata.org/wiki/Q1319773),,[Consistent theory](https://mathgloss.github.io/CatGloss/topoi/consistent_theory),,[Internal logic](https://ncatlab.org/nlab/show/internal+logic)
[Q188248](https://www.wikidata.org/wiki/Q188248),,[Constant](https://mathgloss.github.io/CatGloss/topoi/constant),,
[Q1137814](https://www.wikidata.org/wiki/Q1137814),,[Constructivism](https://mathgloss.github.io/CatGloss/topoi/constructivism),,[Constructive mathematics](https://ncatlab.org/nlab/show/constructive+mathematics)
[Q5500266](https://www.wikidata.org/wiki/Q5500266),,[Continuous morphism](https://mathgloss.github.io/CatGloss/topoi/continuous_morphism),,[Free monoid](https://ncatlab.org/nlab/show/free+monoid)
[Q173300](https://www.wikidata.org/wiki/Q173300),,[De Morgan’s law](https://mathgloss.github.io/CatGloss/topoi/de_morgan’s_law),,[De Morgan duality](https://ncatlab.org/nlab/show/de+morgan+duality)
[Q1200750](https://www.wikidata.org/wiki/Q1200750),,[Description](https://mathgloss.github.io/CatGloss/topoi/description),,
[Q1201068](https://www.wikidata.org/wiki/Q1201068),,[Detachment](https://mathgloss.github.io/CatGloss/topoi/detachment),,
[Q1228851](https://www.wikidata.org/wiki/Q1228851),,[Discrete category](https://mathgloss.github.io/CatGloss/topoi/discrete_category),,[Discrete category](https://ncatlab.org/nlab/show/discrete+category)
[Q175116](https://www.wikidata.org/wiki/Q175116),,[Discrete topology](https://mathgloss.github.io/CatGloss/topoi/discrete_topology),[Discrete topology](https://mathgloss.github.io/CatGloss/bct/discrete_topology),
[Q215382](https://www.wikidata.org/wiki/Q215382),,[Disjoint set](https://mathgloss.github.io/CatGloss/topoi/disjoint_set),,
[Q5282259](https://www.wikidata.org/wiki/Q5282259),,[Disjoint union](https://mathgloss.github.io/CatGloss/topoi/disjoint_union),[Disjoint union](https://mathgloss.github.io/CatGloss/bct/disjoint_union),
[Q1651704](https://www.wikidata.org/wiki/Q1651704),,[Disjunction](https://mathgloss.github.io/CatGloss/topoi/disjunction),,[Disjunction](https://ncatlab.org/nlab/show/disjunction)
[Q2363730](https://www.wikidata.org/wiki/Q2363730),,[Distributive lattice](https://mathgloss.github.io/CatGloss/topoi/distributive_lattice),,[Distributive lattice](https://ncatlab.org/nlab/show/distributive+lattice)
[Q5300067](https://www.wikidata.org/wiki/Q5300067),,[Double negation](https://mathgloss.github.io/CatGloss/topoi/double_negation),,[Law of double negation](https://ncatlab.org/nlab/show/law+of+double+negation)
[Q5310265](https://www.wikidata.org/wiki/Q5310265),,[Duality Principle](https://mathgloss.github.io/CatGloss/topoi/duality_principle),[Principle of duality](https://mathgloss.github.io/CatGloss/bct/principle_of_duality),
[Q226183](https://www.wikidata.org/wiki/Q226183),,[Empty set](https://mathgloss.github.io/CatGloss/topoi/empty_set),,[Empty subset](https://ncatlab.org/nlab/show/empty+subset)
[Q842346](https://www.wikidata.org/wiki/Q842346),,[Equality](https://mathgloss.github.io/CatGloss/topoi/equality),,
[Q11345](https://www.wikidata.org/wiki/Q11345),,[Equation](https://mathgloss.github.io/CatGloss/topoi/equation),,[Equation](https://ncatlab.org/nlab/show/equation)
[Q852705](https://www.wikidata.org/wiki/Q852705),,[Evaluation function](https://mathgloss.github.io/CatGloss/topoi/evaluation_function),,
[Q381725](https://www.wikidata.org/wiki/Q381725),,[Exact functor](https://mathgloss.github.io/CatGloss/topoi/exact_functor),,[Exact functor](https://ncatlab.org/nlab/show/exact+functor)
[Q468422](https://www.wikidata.org/wiki/Q468422),,[Excluded Middle](https://mathgloss.github.io/CatGloss/topoi/excluded_middle),,[Excluded middle](https://ncatlab.org/nlab/show/excluded+middle)
[Q773483](https://www.wikidata.org/wiki/Q773483),,[Existential quantifier](https://mathgloss.github.io/CatGloss/topoi/existential_quantifier),,[Existential quantifier](https://ncatlab.org/nlab/show/existential+quantifier)
[Q295785](https://www.wikidata.org/wiki/Q295785),,[Extension](https://mathgloss.github.io/CatGloss/topoi/extension),,[Extension](https://ncatlab.org/nlab/show/extension)
[Q965432](https://www.wikidata.org/wiki/Q965432),,[Extensional relation](https://mathgloss.github.io/CatGloss/topoi/extensional_relation),,[Extensionality](https://ncatlab.org/nlab/show/extensionality)
[Q5421978](https://www.wikidata.org/wiki/Q5421978),,[Extent](https://mathgloss.github.io/CatGloss/topoi/extent),,
[Q1064276](https://www.wikidata.org/wiki/Q1064276),,[Faithful functor](https://mathgloss.github.io/CatGloss/topoi/faithful_functor),,[Full functor](https://ncatlab.org/nlab/show/full+functor)
[Q2890850](https://www.wikidata.org/wiki/Q2890850),,[False generalisation](https://mathgloss.github.io/CatGloss/topoi/false_generalisation),,
[Q14240380](https://www.wikidata.org/wiki/Q14240380),,[Fibre](https://mathgloss.github.io/CatGloss/topoi/fibre),,
[Q4055684](https://www.wikidata.org/wiki/Q4055684),,[First-order sentence](https://mathgloss.github.io/CatGloss/topoi/first-order_sentence),,[Predicate logic](https://ncatlab.org/nlab/show/predicate+logic)
[Q217608](https://www.wikidata.org/wiki/Q217608),,[Fixed point](https://mathgloss.github.io/CatGloss/topoi/fixed_point),,[Fixpoint](https://ncatlab.org/nlab/show/fixpoint)
[Q3064613](https://www.wikidata.org/wiki/Q3064613),,[Flabby sheaf](https://mathgloss.github.io/CatGloss/topoi/flabby_sheaf),,[Soft sheaf](https://ncatlab.org/nlab/show/soft+sheaf)
[Q976981](https://www.wikidata.org/wiki/Q976981),,[Formula](https://mathgloss.github.io/CatGloss/topoi/formula),,[Formula](https://ncatlab.org/nlab/show/formula)
[Q227744](https://www.wikidata.org/wiki/Q227744),,[Foundation](https://mathgloss.github.io/CatGloss/topoi/foundation),,
[Q354717](https://www.wikidata.org/wiki/Q354717),,[Fragment](https://mathgloss.github.io/CatGloss/topoi/fragment),,[Fragment](https://ncatlab.org/nlab/show/fragment)
[Q294490](https://www.wikidata.org/wiki/Q294490),,[Frame](https://mathgloss.github.io/CatGloss/topoi/frame),,[Frame (disambiguation)](https://ncatlab.org/nlab/show/frame+(disambiguation))
[Q3502887](https://www.wikidata.org/wiki/Q3502887),,[Free logic](https://mathgloss.github.io/CatGloss/topoi/free_logic),,
